Artikel,Deutsch,Plural Suffix,Plural,Type,English,فارسی
die,Klasse,n,Klassen,,class,کلاس
das,Schuljahr,e,Schuljahre,,school year,سال تحصیلی
das,Abitur,,,,high school diploma,دیپلم دبیرستان
das,Abi,,,,High school diploma,دیپلم دبیرستان
der,Abschluss,Abschlüsse,Abschlüsse,,diploma,دیپلم
das,Zeugnis,se,Zeugnisse,,transcript,كارنامه
die,Physik,,,,physics,فیزیک
der,Test,e,Teste,,test,آزمون
der,Übungsplan,Übungspläne,Übungspläne,,exercise plan,طرح تمرینی
der,Unterricht,e,Unterrichte,,instruction,دستورالعمل
die,Arbeit,en,Arbeiten,,work,كار
,arbeitslos,,,adj,unemployed,بیکار
der,Beruf,e,Berufe,,profession,حرفه
der,Traumberuf,e,Traumberufe,,dream job,شغل رویایی
die,Berufserfahrung,en,Berufserfahrungen,,professional experience,تجربه حرفه‌ای
die,Wahl,en,Wahlen,,choice,انتخاب
die,Berufswahl,en,Berufswahlen,,career choice,انتخاب شغل
der,Berufsberater,Berufsberater,Berufsberater,,career advisor,مشاور شغلی
die,Berufsberaterin,nen,Berufsberaterinnen,,career advisor,مشاور شغلی
,beruflich,,,adj,professionally,به صورت حرفه‌ای
der,Bankkaufmann,Bankkaufmänner,Bankkaufmänner,,bank clerk,کارمند بانک
die,Bankkauffrau,Bankkauffrauen,Bankkauffrauen,,bank clerk,کارمند بانک
der,Handwerker,Handwerker,Handwerker,,craftsman,صنعتگر
die,Handwerkerin,nen,Handwerkerinnen,,craftswoman,صنعتگر
,handwerklich,,,adj,handcrafted,دست‌ساز
der,Mechaniker,Mechaniker,Mechaniker,,mechanic,مکانیک
die,Mechanikerin,nen,Mechanikerinnen,,female mechanic,مکانیک زن
der,Manager,Manager,Manager,,manager,مدیر
die,Managerin,nen,Managerinnen,,manager,مدیر
der,Übersetzer,Übersetzer,Übersetzer,,translator,مترجم
die,Übersetzerin,nen,Übersetzerinnen,,translator,مترجم
die,Beratung,en,Beratungen,,advice,مشاوره
,beraten,,,v,advise,نصیحت کردن
die,Agentur,en,Agenturen,,agency,نمایندگی
das,Praktikum,Praktika,Praktika,,internship,کارآموزی
die,Karriere,n,Karrieren,,career,حرفه
,abschließen,,,v,complete,تمام کردن
das,Einkommen,Einkommen,Einkommen,,income,درآمد
der,Verdienst,e,Verdienste,,earnings,درآمد
das,Verdienst,e,Verdienste,,merit,شایستگی
,verdienen,,,v,earn,پول درآوردن
,jobben,,,v,job,موقتی کار کردن
,kaufmännisch,,,adj,commercial,تجاری
,sozial,,,adj,social,اجتماعی
die,Geldanlage,n,Geldanlagen,,investment,سرمایه‌گذاری
der,Anleger,Anleger,Anleger,,investor,سرمایه‌گذار
die,Anlegerin,nen,Anlegerinnen,,investor,سرمایه‌گذار
,führen,,,v,lead,منجر شدن
die,Kosten,,,,cost,هزینه
der,Kredit,e,Kredite,,credit,اعتبار
,finanziell,,,adj,financially,از نظر مالی
die,Pflege,,,,care,مراقبت
das,Heim,e,Heime,,home,خوابگاه
das,Altenheim,e,Altenheime,,nursing home,خانه سالمندان
das,Krankenhaus,Krankenhäuser,Krankenhäuser,,hospital,بیمارستان
der,Krankenpfleger,Krankenpfleger,Krankenpfleger,,nurse,پرستار
die,Krankenschwester,n,Krankenschwestern,,nurse,پرستار
die,Bewegung,en,Bewegungen,,movement,جنبش
,bewegen,,,v,move,حركت دادن
die,Massage,n,Massagen,,massage,ماساژ
,massieren,,,v,massage,ماساژ
die,Therapie,n,Therapien,,therapy,درمانی
der,Physiotherapeut,en,Physiotherapeuten,,physiotherapist,فیزیوتراپیست
die,Physiotherapeutin,nen,Physiotherapeutinnen,,physiotherapist,فیزیوتراپیست
,physiotherapeutisch,,,v,physiotherapy,فیزیوتراپی
das,Rezept,e,Rezepte,,recipe,دستور پخت
die,Untersuchung,en,Untersuchungen,,investigation,تحقیقات
,untersuchen,,,v,investigate,آزمایش کردن
,ärztlich,,,adj,medical,پزشکی
,medizinisch,,,adj,medical,پزشکی
die,Präsentation,en,Präsentationen,,presentation,ارائه
die,Begrüßung,en,Begrüßungen,,greeting,احوالپرسی
die,Einleitung,en,Einleitungen,,introduction,مقدمه
der,Überblick,e,Überblicke,,overview,نمای کلی
die,Gliederung,en,Gliederungen,,classification,دسته‌بندی
die,Überleitung,en,Überleitungen,,transition,گذار
der,Schluss,Schlüsse,Schlüsse,,end,پایان
,gliedern,,,v,divide,تقسیم‌بندی کردن
,halten,,,v,hold,در دست گرفتن
die,Art,en,Arten,,art,گونه
die,Beachtung,en,Beachtungen,,attention,توجه
,beachten,,,v,pay attention,توجه کردن
die,Bearbeitung,en,Bearbeitungen,,editing,ویرایش
,bearbeiten,,,v,edit,ویرایش کردن
der,Bereich,e,Bereiche,,area,مساحت
die,Chance,n,Chancen,,chance,بخت
die,Durchführung,en,Durchführungen,,completion,انجام
,durchführen,,,v,carry out,انجام دادن
das,Ergebnis,se,Ergebnisse,,result,نتیجه
die,Erstellung,en,Erstellungen,,creation,ساخت
,erstellen,,,v,create,ساختن
der,Ausdruck,Ausdrücke,Ausdrücke,,expression,بیان
der,Fachausdruck,Fachausdrücke,Fachausdrücke,,technical term,واژه‌های فنی
die,Ferien,,,,holidays,تعطیلات
die,Gesellschaft,en,Gesellschaften,,company,شرکت
die,Intelligenz,en,Intelligenzen,,intelligence,هوش
die,Medien,,,,media,رسانه
die,Messe,n,Messen,,exhibition,نمایشگاه
die,Planung,en,Planungen,,planning,برنامه‌ریزی
,planen,,,v,plan,برنامه‌ریزی كردن
die,Politik,en,Politiken,,policy,سیاست
die,Prüfung,en,Prüfungen,,checking,بررسی
,prüfen,,,v,check,بررسی کردن
die,Semesterferien,,,,semester break,تعطیلات دانشگاهی
der,Sitz,e,Sitze,,seat,صندلی
der,Steckbrief,e,Steckbriefe,,profile,پروفایل
das,Tagebuch,Tagebücher,Tagebücher,,diary,دفتر خاطرات
die,Unterlage,n,Unterlagen,,document,مدرک
der,Unterpunkt,e,Unterpunkte,,subordinate point,مورد فرعی
die,Versicherung,en,Versicherungen,,insurance,بیمه
,bedienen,,,v,serve,خدمت كردن
,begeistern,,,v,inspire,الهام بخشیدن
,empfehlen,,,v,recommend,توصیه كردن
,entscheiden,,,v,decide,تصمیم گرفتن
,enttäuschen,,,v,disappoint,ناامید کردن
,erwarten,,,v,expect,انتظار/ توقع داشتن
,interessieren,,,v,be interested,علاقمند بودن
,kommunizieren,,,v,communicate,گفتگو کردن
,recherchieren,,,v,research,پژوهش کردن
,reichen,,,v,reach,رسیدن
,ausreichen,,,v,suffice,كافی بودن
,überfliegen,,,v,fly over,پرواز بر فراز
,überreichen,,,v,hand over,واگذار کردن
,vorbeikommen,,,v,to come by,سر زدن
,zuhören,,,v,listen,گوش کردن/دادن
,abhängig,,,adj,dependent,وابسته
,administrativ,,,adj,administrative,اداری
,bisherig,,,adj,existing until now,آنچه که تا کنون اتفاق افتاده
,dankbar,,,adj,thankful,سپاسگزار
,digital,,,adj,digital,رقمی
,eigen,,,adj,own,مال خود
,geduldig,,,adj,patient,شکیبا
,gestresst,,,adj,stressed,تحت فشار
,gleichzeitig,,,adj,at the same time,همزمان
,körperlich,,,adj,physically,جسمانی
,lateinisch,,,adj,latin,لاتین
,leicht,,,adj,light,سبك
,schwer,,,adj,difficult,دشوار
,schwer,,,adj,heavy,سنگین
,restlich,,,adj,remaining,باقیمانده
,sinnvoll,,,adj,reasonable,معقول
,systematisch,,,adj,systematic,منظم
,zuständig,,,adj,responsible,مسئول
,neulich,,,adj,recently,اخیراً
,eigentlich,,,adj,actually,در واقع
der,Zweck,e,Zwecke,,purpose,هدف
,geehrt,,,adj,honored,جناب آقای/سرکار خانم
der,Rahmen,,,,frame,چارچوب
,voraus,,,adv,in advance,از قبل
,freundlichen Grüßen,,,,kind regards,با احترام
,,,,,,
die,Bewerbung,en,Bewerbungen,,application,درخواست
die,Bewerbungsunterlagen,en,Bewerbungsunterlagenen,,application documents,مدارک درخواست
,bewerben,,,v,apply,درخواست/تقاضا دادن
der,Lebenslauf,Lebensläufe,Lebensläufe,,cv,رزومه
das,Vorstellungsgespräch,Vorstellungsgespräche,Vorstellungsgespräche,,job interview,مصاحبه شغلی
das,Büro,s,Büros,,office,دفتر
die,Abteilung,en,Abteilungen,,department,دپارتمان
die,Personalabteilung,en,Personalabteilungen,,human resources department,دپارتمان منابع انسانی
die,Buchhaltung,en,Buchhaltungen,,accounting,حسابداری مالی
das,Controlling,,,,controlling,حسابداری مدیریتی
das,Marketing,,,,marketing,بازاریابی
die,Produktion,en,Produktionen,,production,ساخت
die,Herstellung,en,Herstellungen,,production,ساخت
,herstellen,,,v,produce,ساختن
der,Vertrieb,e,Vertriebe,,sale,فروش
der,Wareneingang,Wareneingänge,Wareneingänge,,goods receiving,دریافت کالا
die,Fabrik,en,Fabriken,,factory,کارخانه
die,Industrie,n,Industrien,,industry,صنعت
das,Produkt,e,Produkte,,product,محصول
,produzieren,,,v,produce,ساختن
die,Ware,n,Waren,,commodity,كالا
die,Süßware,n,Süßwaren,,confectionery,شیرینی‌
die,Zuckerwaren,,,,confectionery,شیرینی‌ ها
der,Stoff,e,Stoffe,,material,ماده
der,Rohstoff,e,Rohstoffe,,raw material,ماده خام
die,Verpackung,en,Verpackungen,,packaging,بسته بندی
das,Personal,,,,staff,کارکنان
der,Personalchef,s,Personalchefs,,head of human resources,رئیس منابع انسانی
die,Personalchefin,nen,Personalchefinnen,,head of human resources,رئیس منابع انسانی
der,Mitarbeiter,,,,employee,کارمند
die,Mitarbeiterin,nen,Mitarbeiterinnen,,employee,کارمند
,beschäftigen,,,v,employ,به کار گرفتن
der,Verkauf,Verkäufe,Verkäufe,,sale,فروش
,verkaufen,,,v,sell,فروختن
der,Markt,Märkte,Märkte,,market,بازار
der,Export,e,Exporte,,export,صادرات
,exportieren,,,v,export,صادر كردن
die,Arbeitszeit,en,Arbeitszeiten,,working hours,ساعات کار
die,Gleitzeit,en,Gleitzeiten,,flexible working hours,ساعت کاری شناور
die,Schicht,en,Schichten,,shift,نوبت
die,Frühschicht,en,Frühschichten,,early shift,روز کاری
die,Nachtschicht,en,Nachtschichten,,night shift,شب کاری
die,Überstunde,n,Überstunden,,overtime,اضافه کاری
das,Projekt,e,Projekte,,project,پروژه
das,Schwerpunkt,e,Schwerpunkte,,focus,تمرکز
die,Grundschule,n,Grundschulen,,primary school,مدرسه ابتدایی
die,Leistung,en,Leistungen,,performance,بازده
der,Leistungskurs,e,Leistungskurse,,advanced course,دوره پیشرفته
die,Note,n,Noten,,note,نمره
der,Bachelor,s,Bachelors,,bachelor,کارشناسی
die,Methode,n,Methoden,,method,روش
die,Analysemethode,n,Analysemethoden,,analysis method,روش تحلیل
die,Analytik,-,-,,analytics,تجزیه و تحلیل
die,Biologie,-,-,,biology,زیست‌شناسی
die,Chemie,-,-,,chemistry,شیمی
die,Kenntnis,se,Kenntnisse,,knowledge,دانش
die,Spezialkenntnis,se,Spezialkenntnisse,,specialized knowledge,دانش تخصصی
die,Fachkenntnis,se,Fachkenntnisse,,expertise,تخصص
das,Studium,Studien,Studien,,studies,تحصیل
das,Pflichtstudium,Pflichtstudien,Pflichtstudien,,compulsory studies,درس‌های اجباری
die,Weiterbildung,en,Weiterbildungen,,continuing education,آموزش مداوم
der,Fortbildungskurs,e,Fortbildungskurse,,advanced training course,دوره آموزشی پیشرفته
das,Semester,Semester,Semester,,semester,ترم تحصیلی
,abschließen,,,v,complete,تمام کردن
der,Absatz,Absätze,Absätze,,sale,بازار فروش
der,Anteil,e,Anteile,,portion,بخش
die,Apotheke,n,Apotheken,,pharmacy,داروخانه
der,Betreff,e,Betreffe,,subject,موضوع
der,Bezug,Bezüge,Bezüge,,reference,ارجاع
der,Brief,e,Briefe,,letter,نامه
die,EDV,-,-,,electronic data processing,پردازش داده‌های الکترونیکی
die,Ehe,n,Ehen,,marriage,پیوند زناشویی
der,Eigentümer,Eigentümer,Eigentümer,,owner,دارنده
die,Eigentümerin,nen,Eigentümerinnen,,owner,دارنده
die,Einführung,en,Einführungen,,introduction,مقدمه
die,Ergänzung,en,Ergänzungen,,complement,مکمل
die,Eröffnung,en,Eröffnungen,,opening,گشایش
die,Firewall,s,Firewalls,,firewall,دیوار آتش
die,Folie,n,Folien,,foil,زرورق
das,Gelände,Gelände,Gelände,,terrain,زمین
die,Gründung,en,Gründungen,,foundation,تأسیس
die,Grußformel,n,Grußformeln,,salutation,احوالپرسی
das,Handout,s,Handouts,,handout,جزوه
die,Kontrolle,n,Kontrollen,,control,بازرسی
der,Laden,,,,shop,فروشگاه
die,Marke,n,Marken,,brand,برند
der,Rabatt,e,Rabatte,,discount,تخفیف
der,Rundgang,Rundgänge,Rundgänge,,tour,گشت‌وگذار
das,Quadrat,en,Quadraten,,square,مربع
die,Sorte,n,Sorten,,sort,نوع
der,Slogan,s,Slogans,,slogan,شعار
die,Steigerung,en,Steigerungen,,increase,افزایش
die,Tätigkeit,en,Tätigkeiten,,task,وظیفه
die,Umgangssprache,n,Umgangssprachen,,colloquial language,زبان محاوره‌ای
die,Standardsprache,n,Standardsprachen,,standard language,زبان معیار
die,Voraussetzung,en,Voraussetzungen,,requirement,شرط لازم
der,Weltkrieg,e,Weltkriege,,world war,جنگ جهانی
das,Werk,e,Werke,,factory,کارخانه
der,Zuschuss,Zuschüsse,Zuschüsse,,grant,کمک هزینه
,abbauen,,,v,dismantle,برچیدن
,anschaffen,,,v,acquire,خریدن
,analysieren,,,v,analyze,تحلیل کردن
,aufgeben,,,v,give up,رها کردن
,aufnehmen,,,v,record,ضبط کردن
,aufregen,,,v,excite,تحریک کردن
,befolgen,,,v,follow,پیروی کردن
,beifügen,,,v,attach,ضمیمه کردن
,bestimmen,,,v,determine,تعیین کردن
,betragen,,,v,be,بودن
,erfahren,,,v,experience,تجربه كردن
,erfahren,,,adj,experienced,با تجربه
,erweitern,,,v,expand,گسترش دادن
,festlegen,,,v,determine,تعیین کردن
,fördern,,,v,support,حمایت کردن
,kontrollieren,,,v,control,بازرسی كردن
,konzentrieren,,,v,concentrate,متمرکز کردن
,schützen,,,v,protect,محافظت كردن
,teilnehmen,,,v,participate,شرکت کردن
,tun,,,v,do,انجام دادن
,überprüfen,,,v,check,بازبینی كردن
,verfügen,,,v,have,در اختیار داشتن
,verlegen,,,adj,embarrassed,خجالت زده
,verlegen,,,v,transfer,جابه‌جا کردن
,vertiefen,,,v,deepen,تعمیق
,vorbereiten,,,v,prepare,آماده كردن
,wiederbekommen,,,v,get it back,باز پس گرفتن
,allgemein,,,adj,general,به طور کلی
,erfolgreich,,,adj,successful,موفق
,erweitern,,,v,expand,گسترش دادن
,freiwillig,,,adj,voluntarily,داوطلبانه
,gleich,,,adj,same,برابر
,idyllisch,,,adj,idyllic,باصفا
,industriell,,,adj,industrial,صنعتی
,kinderlieb,,,adj,child-friendly,مناسب برای کودکان
,originell,,,adj,original,اصلی
,quadratisch,,,adj,square,مربع
,üblich,,,adj,usual,رایج
,übersichtlich,,,adj,clear,قابل فهم
,verhandlungssicher,,,,negotiation-proficient,مسلط به مذاکره
,vertraut,,,adj,familiar,آشنا
,vertraglich,,,adj,contractual,قراردادی
,zusätzlich,,,adj,additionally,علاوه بر این
,Gute Besserung,,,,get well soon,زود خوب شو.
,,,,,,
die,Landschaft,en,Landschaften,,landscape,منظره
die,Natur,en,Naturen,,nature,طبیعت
die,Alpen,,,,alps,رشته کوه‌های آلپ
der,Berg,e,Berge,,mountain,کوه
das,Meer,e,Meere,,sea,دریا
der,See,n,Seen,,lake,دریاچه
die,See,n,Seen,,sea,دریا
die,Insel,n,Inseln,,island,جزیره
der,Strand,Strände,Strände,,beach,ساحل
das,Ufer,Ufer,Ufer,,riverbank,ساحل رودخانه
die,Döner,Döner,Döner,,doner kebab,کباب دونر
die,Luft,Lüfte,Lüfte,,air,هوا
die,Pflanze,n,Pflanzen,,plant,گیاه
,tropisch,,,adj,tropical,گرمسیری
die,Schifffahrt,en,Schifffahrten,,shipping,كشتیرانی
das,Boot,e,Boote,,boat,قایق
der,Boot,s,Boots,,boot,قایق
die,Fähre,n,Fähren,,ferry,کشتی
das,Schiff,e,Schiffe,,ship,کشتی
das,Bord,e,Borde,,wall shelf,قفسه دیواری
der,Bord,e,Borde,,ship deck,عرشه کشتی
der,Hafen,Häfen,Häfen,,harbor,بندرگاه
der,Urlaub,e,Urlaube,,vacation,مرخصی
der,Aktivurlaub,e,Aktivurlaube,,active holiday,تعطیلات ماجراجویانه
der,Campingurlaub,e,Campingurlaube,,camping holiday,تعطیلات اردوگاهی
die,Fernreise,n,Fernreisen,,long-distance travel,سفر طولانی مدت
die,Kreuzfahrt,en,Kreuzfahrten,,cruise,سفر دریایی
die,Wellness,-,-,,wellness,سلامتی
die,Ferne,n,Fernen,,distance,دوردست
die,Saison,s,Saisons,,season,فصل
die,Hauptsaison,s,Hauptsaisons,,peak season,اوج فصل سفر
die,Touristikmesse,n,Touristikmessen,,tourism fair,نمایشگاه گردشگری
die,Ferienwohnung,en,Ferienwohnungen,,holiday apartment,خانهٔ اجاره‌ای برای سفر
der,Gasthof,Gasthöfe,Gasthöfe,,inn,مسافرخانه
der,Landgasthof,landgasthöfe,landgasthöfe,,country inn,مسافرخانه روستایی
die,Pension,en,Pensionen,,pension,مستمری
das,Wohnmobil,e,Wohnmobile,,motor home,خودرو کاروان
der,Wohnwagen,Wagen,Wagen,,caravan,کاروان
der,Stellplatz,Stellplätze,Stellplätze,,parking space,فضای پارکینگ
das,Zimmer,Zimmer,Zimmer,,room,اتاق
das,Einzelzimmer,Einzelzimmer,Einzelzimmer,,single room,اتاق یک تخته
das,Doppelzimmer,Doppelzimmer,Doppelzimmer,,double room,اتاق دو تخته
das,Zweibettzimmer,Zweibettzimmer,Zweibettzimmer,,twin room,اتاق دو‌تخته
das,Dreibettzimmer,Dreibettzimmer,Dreibettzimmer,,triple room,اتاق سه تخته
die,Halbpension,-,-,,half board,اتاق با دو وعده غذا
die,Vollpension,-,-,,full board,اتاق با سه وعده غذا
das,Büfett,s,Büfetts,,buffet,بوفه
das,Frühstücksbuffet,s,Frühstücksbuffets,,breakfast buffet,بوفه صبحانه
das,Menü,s,Menüs,,menu,منو
das,3-Gänge-Menü,s,3-Gänge-Menüs,,3-course menu,منوی سه مرحله ای
der,Bummel,Bummel,Bummel,,stroll,قدم زدن
der,Stadtbummel,Stadtbummel,Stadtbummel,,stroll through the city,در شهر قدم بزنید
die,Entspannung,en,Entspannungen,,relaxation,آرامش
,entspannen,,,v,relax,آرام شدن
die,Erholung,-,-,,recovery,استراحت
,erholen,,,v,recover,استراحت كردن
der,Fallschirm,e,Fallschirme,,parachute,چتر نجات
die,Reißleine,n,Reißleinen,,ripcord,طناب ایمنی
die,Platte,n,Platten,,plate,بشقاب
die,Platte,n,Platten,,plate,صفحه
die,Tischtennisplatte,n,Tischtennisplatten,,table tennis,تنیس روی میز
die,Sauna,Saunen,Saunen,,sauna,سونا
das,Schwimmbad,Schwimmbäder,Schwimmbäder,,swimming pool,استخر شنا
der,Sportler,Sportler,Sportler,,sportsman,ورزشکار
die,Sportlerin,nen,Sportlerinnen,,sportswoman,ورزشکار
die,Tour,en,Touren,,tour,گشت و گذار
der,Wanderweg,e,Wanderwege,,trail,مسیر پیاده روی
das,Paradies,e,Paradiese,,paradise,بهشت
das,Wanderparadies,e,Wanderparadiese,,hiking paradise,بهشت پیاده‌روی
,baden,,,v,bathe,حمام کردن
,faulenzen,,,v,lazing around,تنبلی کردن
,klettern,,,v,climb,کوهنوردی
,segeln,,,v,sail,کشتیرانی (کشتی بادبانی) کردن
,springen,,,v,jump,پرش کردن
,tauschen,,,v,exchange,برای تبادل
der,Aufbau,ten,Aufbauten,,construction,ساخت و ساز
die,Ausstattung,en,Ausstattungen,,equipment,تجهیزات
die,Beschäftigung,en,Beschäftigungen,,occupation,شغل
das,Ereignis,se,Ereignisse,,event,رویداد
das,Flugzeug,e,Flugzeuge,,airplane,هواپیما
der,Geist,e,Geiste,,spirit,روح
die,Höhe,n,Höhen,,height,بلندی
der,Hunger,s,Hungers,,hunger,گرسنگی
der,Liebhaber,Liebhaber,Liebhaber,,lover,عاشق
die,Liebhaberin,nen,Liebhaberinnen,,lover,عاشق
das,Mal,e,Male,,time,بار
die,Mitte,n,Mitten,,center,مرکز
das,Nichts,e,Nichtse,,nothing,هیچی
der,Pkw,s,Pkws,,car,وسیله نقلیه شخصی
der,Quatsch,-,-,,nonsense,مزخرف
der,Rahmen,Rahmen,Rahmen,,frame,قاب
der,Rennen,Rennen,Rennen,,run,دویدن
die,Ruhe,-,-,,quiet,آرامش
das,Schloss,Schlösser,Schlösser,,lock,قفل
die,Sendung,en,Sendungen,,broadcast,برنامه (رسانه‌ای)
die,Sendung,en,Sendungen,,parcel,بسته
die,Spur,en,Spuren,,trace,رد
der,Stein,e,Steine,,stone,سنگ
das,Tandem,s,Tandems,,tandem,دوچرخه دونفره
der,Trick,s,Tricks,,trick,ترفند
das,Vergnügen,Vergnügen,Vergnügen,,enjoyment,لذت
die,Versorgung,en,Versorgungen,,supply,فراهم سازی
der,Vogel,Vögel,Vögel,,bird,پرنده
der,Werbetext,e,Werbetexte,,advertising text,متن تبلیغاتی
der,Zeppelin,e,Zeppeline,,zeppelin,بالن
,ankommen,,,v,arrive,رسیدن
,aufbauen,,,v,build up,رفته رفته ساختن
,aufbauen,,,v,build,ساختن
,abbauen,,,v,dismantle,برچیدن
,aufwärmen,,,v,warm up,گرم کردن
,einrasten,,,v,snap into place,چفت شدن
,einrichten,,,v,furnish,مبله کردن
,fliegen,,,v,fly,پرواز كردن
,gleiten,,,v,slide,لغزیدن
,lohnen,,,v,to be worth it,ارزش داشتن
,losfahren,,,v,start,راه افتادن
,mitmachen,,,v,participate,شركت كردن
,nerven,,,v,annoy,اذیت کردن
,schreien,,,v,scream,جیغ
,strukturieren,,,v,structure,سازماندهی کردن
,tragen,,,v,carry,حمل کردن
,tun,,,v,do,انجام دادن
,vertragen,,,v,tolerate,تحمل داشتن
,verwöhnen,,,v,pamper,بناز پروردن
,zusammendrücken,,,v,compress,به هم فشردن
,zusammenfalten,,,v,fold,تا کردن
,absolut,,,adj,absolute,بی چون و چرا
,alt,,,adj,old,قدیمی
,jung,,,adj,young,جوان
,ausgezeichnet,,,adj,excellent,عالی
,blass,,,adj,pale,رنگ‌پریده
,elegant,,,adj,elegant,آراسته
,fantastisch,,,adj,fantastic,شگفت انگیز
,faszinierend,,,adj,fascinating,دلربا
,fern,,,adj,remote,دور
,familiär,,,adj,familial,خانوادگی
,frei,,,adj,free,رایگان
,frisch,,,adj,fresh,تازه
,großartig,,,adj,great,عالی
,herrlich,,,adj,splendid,باشکوه
,klar,,,adj,clear,واضح
,perfekt,,,adj,perfect,کامل
,pur,,,adj,pure,خالص
,regional,,,adj,regional,منطقه‌ای
,steinzeitlich,,,adj,stone age,پارینه سنگی
,traumhaft,,,adj,dreamy,رویایی
,unbeliebt,,,adj,unpopular,نامحبوب
,uninteressant,,,adj,uninteresting,ناپسند
,unsportlich,,,adj,unsportsmanlike,غیر ورزشی
,vielfältig,,,adj,diverse,گوناگون
,anderswo,,,adv,elsewhere,در جای دیگر
,danach,,,adv,after,پس از آن
,genauso,,,adv,just as,همچنین
,nirgends,,,adv,nowhere,هیچ جا
,rund,,,adv,around,پیرامون
,rund,,,adv,approximately,کم‌وبیش
,rundum,,,adv,all around,همه جا
,sogar,,,adv,even,حتی
,sonst,,,adv,otherwise,وگرنه
,wohl,,,adv,probably,شاید
,beide,,,pron,both,هر دو
